148.49,0
148.61,0
148.73,0
148.85,0
148.97,0
149.09,0
149.21,2.1144
149.33,35.083
149.44,248.75
149.56,1038
149.68,3063.2
149.8,7199.6
149.92,14372
150.04,25530
150.16,41693
150.28,63532
150.4,90695
150.52,1.2325e+05
150.64,1.5863e+05
150.76,1.9581e+05
150.88,2.3131e+05
151,2.6265e+05
151.12,2.8806e+05
151.24,3.0563e+05
151.36,3.1396e+05
151.48,3.1194e+05
151.6,2.998e+05
151.72,2.8019e+05
151.84,2.552e+05
151.96,2.266e+05
152.08,1.97e+05
152.2,1.6799e+05
152.32,1.4111e+05
152.44,1.1762e+05
152.56,97780
152.68,81418
152.8,68445
152.92,58239
153.04,50020
153.16,43860
153.28,39057
153.41,35236
153.53,32211
153.65,29777
153.77,27713
153.89,25976
154.01,24224
154.13,22927
154.25,21792
154.37,20828
154.49,19918
154.62,19106
154.74,18338
154.86,17609
154.98,16908
155.1,15972
155.22,15345
155.34,14781
155.47,14272
155.59,13767
155.71,13294
155.83,12852
155.95,12395
156.07,12021
156.2,11596
156.32,11239
156.44,10887
156.56,10529
156.68,10202
156.81,9886.1
156.93,9618.5
157.05,9083.9
157.17,8857.7
157.3,8604.6
157.42,8379.2
157.54,8137.2
157.66,7909.8
157.79,7676.7
157.91,7445.6
158.03,7043
158.15,6877.1
158.28,6693.2
158.4,6531
158.52,6351.2
158.64,6183.8
158.77,6006.9
158.89,5839.4
159.01,5522.3
159.14,5340.8
159.26,5165.9
159.38,4997.3
159.51,4830.6
159.63,4677.5
159.75,4531.3
159.87,4388.4
160,4222.1
160.12,4099
160.24,3971.9
160.37,3851.9
160.49,3742.9
