145.62,0
145.63,0
145.64,0
145.65,0
145.66,0
145.67,0
145.68,0
145.69,0
145.7,0
145.71,0
145.72,0
145.73,0
145.74,0
145.75,0
145.76,0
145.77,0
145.78,0
145.79,0
145.8,0
145.81,0
145.82,0
145.83,0
145.84,0
145.85,0
145.86,0
145.87,0
145.88,0
145.89,0
145.9,0
145.91,0
145.92,0
145.93,0
145.94,0
145.95,0
145.96,0
145.97,0
145.98,0
145.99,0
146,0
146.01,0
146.02,0
146.03,0
146.04,0
146.05,0
146.06,0
146.07,0
146.08,0
146.09,0
146.1,0
146.11,0
146.12,529.44
146.13,2702.5
146.14,4832.7
146.15,6884
146.16,9292.8
146.17,11256
146.18,13228
146.19,15946
146.2,17615
146.21,19585
146.22,22528
146.23,24004
146.24,25937
146.25,29096
146.26,30324
146.27,32330
146.28,35473
146.29,36718
146.3,39099
146.31,41703
146.32,43103
146.33,45993
146.34,48146
146.35,49502
146.36,53119
146.37,54373
146.38,55894
146.39,59945
146.4,60609
146.41,62306
146.42,66984
146.43,67027
146.44,68687
146.45,73581
146.46,73313
146.47,75079
146.48,79749
146.49,79618
146.5,81159
146.51,85150
146.52,85210
146.53,86794
146.54,89982
146.55,90221
146.56,92755
146.57,94508
146.58,94635
146.59,98123
146.6,98118
146.61,98340
146.62,1.0173e+05
146.63,97827
146.64,95991
146.65,98516
146.66,93839
146.67,91849
146.68,93811
146.69,89024
146.7,87035
146.71,88094
146.72,83705
146.73,81567
146.74,81527
146.75,77753
146.76,75434
146.77,74589
146.78,71255
146.79,68982
146.8,67617
146.81,64773
146.82,62670
146.83,60946
146.84,58337
146.85,57309
146.86,54301
146.87,51889
146.88,51541
146.89,47815
146.9,45455
146.91,45085
146.92,41279
146.93,39016
146.94,38083
146.95,34820
146.96,32604
146.97,31196
146.98,28357
146.99,26174
147,24475
147.01,21944
147.02,19767
147.03,17835
147.04,15512
147.05,13353
147.06,11316
147.07,9095.9
147.08,6945.8
147.09,4834.5
147.1,2674.1
147.11,534.12
147.12,0
147.13,0
147.14,0
147.15,0
147.16,0
147.17,0
147.18,0
147.19,0
147.2,0
147.21,0
147.22,0
147.23,0
147.24,0
147.25,0
147.26,0
147.27,0
147.28,0
147.29,0
147.3,0
147.31,0
147.32,0
147.33,0
147.34,0
147.35,0
147.36,0
147.37,0
147.38,0
147.39,0
147.4,0
147.41,0
147.42,0
147.43,0
147.44,0
147.46,0
147.47,0
147.48,0
147.49,0
147.5,0
147.51,0
147.52,0
147.53,0
147.54,0
147.55,0
147.56,0
147.57,0
147.58,0
147.59,0
147.6,0
147.61,0
147.62,0
