#Index,Spectrum No,R,    Theta,            Q,            Phi,        Monitor
171,172,2.654913696277,110.5406089282,14.09910084892,-0.1141288658073,no
172,173,2.653381823169,111.1662704397,14.15225299841,0.2235348982078,no
173,174,2.657864302184,111.8000663757,14.20566603669,0.3219636368496,no
174,175,2.655191404855,112.4323490297,14.25851853543,-0.124776973545,no
175,176,2.656506956487,113.0607830822,14.31061918746,0.1056736419298,no
176,177,2.653889555416,113.6907000839,14.36241085904,-0.06227964111839,no
177,178,2.653913357397,114.3177996796,14.41353979568,-0.09337506176491,no
178,179,2.651953227406,114.9456667882,14.46429886053,0.04757042051428,no
179,180,2.625891712357,115.5738343645,14.51464766759,-0.1205263988589,no
180,181,2.619301921388,116.210090745,14.56520017469,-0.2947629339662,no
181,182,2.630953129941,116.8359240642,14.61448649072,0.3089900293728,no
182,183,2.645967555412,117.4645293135,14.66355229459,-0.08527485007103,no
183,184,2.65850425114,118.0968314714,14.71246150344,0.09188985881179,no
184,185,2.673444561766,118.724017437,14.76053244699,-0.2549972315407,no
185,186,2.711168094918,119.3398605226,14.80730377271,0.1931642718197,no
186,187,2.734762132168,120.0202866544,14.85848262405,0.4644103047788,no
187,188,2.693716242387,120.654358638,14.9057033844,-0.3625772386533,no
188,189,2.658551842832,121.2545010134,14.9499769561,-0.1428788175354,no
189,190,2.659738666361,121.8801725492,14.99569724977,-0.1712879031492,no
190,191,2.661966965292,122.508784345,15.0411821946,-0.3630110276191,no
191,192,2.662175786921,123.1423899446,15.08657044114,-0.3294982664244,no
192,193,2.658433034377,123.7753619262,15.13145275571,0.1216318264344,no
193,194,2.66064252892,124.4041588804,15.17558190892,-0.2619536241967,no
194,195,2.663206289035,125.0319261313,15.21918297905,0.4644127688008,no
195,196,2.66249144518,125.6634280715,15.26258259844,-0.2145968519838,no
196,197,2.661904144455,126.2975299526,15.30569450631,0.3732726380321,no
197,198,2.659753488688,126.9290840787,15.34816735017,-0.1437617439257,no
198,199,2.655983833925,127.5504749943,15.38950170552,0.4840065171375,no
199,200,2.643193110098,128.1837091982,15.43115830741,0.4911656501322,no
200,201,2.635815748642,128.8148985279,15.47221145403,-0.0503076994701,no
201,202,2.61865272032,129.4422404887,15.51254922589,0.5746073904613,no
202,203,2.607694999907,130.0695847575,15.55242221579,0.1138912827825,no
203,204,2.591638146086,130.6986388974,15.59193584758,0.1888726482819,no
204,205,2.57931556388,131.3249926918,15.63081302036,0.2173344432611,no
205,206,2.567118777283,131.9542174942,15.66939817867,-0.09143766730585,no
206,207,2.555685036458,132.5820164803,15.70742505702,0.2737747183098,no
207,208,2.543906958869,133.2044164839,15.74465952243,-0.02006819588089,no
208,209,2.533423790189,133.8308455045,15.78166601855,-0.01314285964186,no
209,210,2.52244129205,134.4560839335,15.8181319066,0.009945843697338,no
210,211,2.513225623652,135.0702076962,15.85349112829,-0.02035251580021,no
211,212,2.503418129683,135.6106700897,15.88423251761,0,no
