 Conv_Time    Conv_tLength   Completed    Saved_Time   Save_tLength  
        0.0       8.5089   0.4329004329          4.0       4.0461  
       12.0       8.0623   0.865800865801         16.0       4.0448  
       24.0       8.0933   1.2987012987         28.0       4.0817  
       37.0       8.0764   1.7316017316         41.0       3.9907  
       49.0       8.0612   2.1645021645         52.0       3.8447  
       61.0       8.8058   2.5974025974         65.0       3.9646  
       74.0       8.8387   3.0303030303         78.0       4.0476  
       86.0       7.6131   3.4632034632         90.0       3.8818  
       97.0       7.7197   3.8961038961        101.0       3.8892  
      109.0       7.9133   4.329004329        113.0       4.0496  
      121.0        8.117   4.7619047619        125.0       3.9289  
      133.0       8.1109   5.19480519481        138.0       5.0367  
      147.0        8.203   5.62770562771        152.0       4.9401  
      160.0       8.1587   6.06060606061        165.0       4.8603  
      173.0       8.2373   6.49350649351        178.0       4.9572  
      186.0       8.2444   6.92640692641        191.0       4.9393  
      199.0       8.2378   7.35930735931        204.0       4.8837  
      212.0       8.1671   7.79220779221        217.0       5.0592  
      227.0        9.131   8.22510822511        232.0        5.147  
      241.0       8.9124   8.65800865801        246.0       5.1045  
      255.0       8.8572   9.09090909091        260.0       4.9807  
      269.0       9.0116   9.52380952381        274.0        4.884  
      282.0       8.7408   9.95670995671        287.0       4.8132  
      296.0       9.0336   10.3896103896        301.0        4.671  
      310.0       9.1112   10.8225108225        315.0       5.1886  
      323.0       7.7487   11.2554112554        328.0       5.0053  
      336.0       7.8342   11.6883116883        341.0       5.0181  
      349.0       7.7831   12.1212121212        354.0        4.975  
      362.0       7.9629   12.5541125541        367.0       5.0365  
      374.0       7.8276   12.987012987        379.0       4.9472  
      387.0       7.8219   13.4199134199        392.0       4.9321  
      400.0       7.8343   13.8528138528        405.0       4.9624  
      413.0       7.9643   14.2857142857        418.0       5.0778  
      426.0       8.0201   14.7186147186        431.0       5.0363  
      439.0       8.0023   15.1515151515        444.0       5.1449  
      453.0       8.7724   15.5844155844        458.0       5.2932  
      467.0       8.7009   16.0173160173        472.0       5.2759  
      481.0       8.5378   16.4502164502        486.0       5.1705  
      494.0       8.3698   16.8831168831        499.0       4.6292  
      507.0       8.4427   17.316017316        513.0        5.222  
      521.0       8.1741   17.7489177489        526.0       4.6854  
      534.0       8.3992   18.1818181818        538.0       4.1121  
      547.0       8.4444   18.6147186147        551.0       4.0487  
      559.0       8.3579   19.0476190476        563.0       4.0674  
      572.0       8.4821   19.4805194805        575.0       3.8197  
      583.0        8.024   19.9134199134        587.0        4.066  
      596.0       8.4534   20.3463203463        600.0       4.0781  
      608.0       8.3345   20.7792207792        612.0       4.0011  
      621.0       8.4933   21.2121212121        625.0       4.0581  
      633.0       8.4579   21.645021645        638.0       4.1179  
      646.0       8.5387   22.0779220779        650.0       4.0375  
      659.0       8.5434   22.5108225108        663.0       4.0128  
      671.0       8.3509   22.9437229437        675.0       3.9826  
      684.0       8.4768   23.3766233766        688.0       4.0416  
      696.0       8.2954   23.8095238095        700.0       4.1023  
      708.0        8.406   24.2424242424        712.0       4.0642  
      721.0       8.3068   24.6753246753        725.0       4.1219  
      733.0       8.5288   25.1082251082        738.0       4.2412  
      746.0       8.3733   25.5411255411        750.0       3.9617  
      764.0       13.834   25.974025974        768.0       4.2066  
      777.0       9.2256   26.4069264069        782.0       4.5323  
      790.0       8.2903   26.8398268398        794.0       3.9694  
      802.0       8.0605   27.2727272727        806.0       3.8523  
      814.0       8.0354   27.7056277056        818.0       3.9749  
      826.0       8.0538   28.1385281385        830.0       4.0096  
      838.0       8.0164   28.5714285714        842.0       3.9681  
      851.0       8.3334   29.0043290043        855.0       4.1798  
      863.0       8.3695   29.4372294372        867.0       3.8982  
      875.0       8.4159   29.8701298701        879.0       4.0572  
      888.0       8.2423   30.303030303        892.0       3.8249  
      900.0       8.3148   30.7359307359        904.0       3.9376  
      912.0       8.2814   31.1688311688        916.0       4.0002  
      925.0       8.3931   31.6017316017        929.0       4.0027  
      936.0       7.5565   32.0346320346        940.0       3.5159  
      948.0       8.6757   32.4675324675        953.0        4.505  
      962.0        9.414   32.9004329004        967.0       4.4686  
      976.0       9.6267   33.3333333333        981.0       4.5676  
      989.0       8.1358   33.7662337662        993.0       3.8643  
     1001.0       7.9624   34.1991341991       1005.0       3.8161  
     1013.0       8.0525   34.632034632       1017.0       4.1882  
     1025.0       8.1587   35.0649350649       1029.0       4.0462  
     1037.0       8.0197   35.4978354978       1041.0       3.9352  
     1049.0       8.1244   35.9307359307       1053.0       4.0107  
     1061.0       7.8675   36.3636363636       1065.0       4.0021  
     1073.0       7.9294   36.7965367965       1077.0       3.9811  
     1085.0       7.8159   37.2294372294       1089.0       3.8865  
     1097.0       7.7021   37.6623376623       1100.0       3.9162  
     1108.0       7.7724   38.0952380952       1112.0       3.8934  
     1120.0        7.815   38.5281385281       1124.0       3.7944  
     1131.0       7.7164   38.961038961       1135.0       3.7669  
     1143.0       7.6988   39.3939393939       1147.0       3.9414  
     1155.0       7.8325   39.8268398268       1159.0       3.9437  
     1166.0       7.7557   40.2597402597       1170.0       3.8836  
     1178.0       7.6978   40.6926406926       1182.0       3.8276  
     1190.0       7.6955   41.1255411255       1193.0        3.863  
     1201.0       7.8358   41.5584415584       1205.0       3.6451  
     1213.0       7.9797   41.9913419913       1217.0       3.5993  
     1225.0       8.1235   42.4242424242       1228.0       3.6655  
     1237.0        8.318   42.8571428571       1241.0       3.9653  
     1249.0       8.0896   43.29004329       1252.0       3.6325  
     1261.0        8.447   43.7229437229       1265.0       4.0816  
     1273.0       8.1999   44.1558441558       1277.0       3.9419  
     1285.0       8.1747   44.5887445887       1289.0       3.9069  
     1297.0       8.0843   45.0216450216       1301.0       3.9581  
     1309.0       8.1121   45.4545454545       1313.0       3.9179  
     1322.0       8.2686   45.8874458874       1325.0       3.8949  
     1334.0       8.0726   46.3203463203       1337.0       3.6031  
     1345.0       7.9186   46.7532467532       1349.0       3.9306  
     1358.0       8.5304   47.1861471861       1361.0       3.8818  
     1370.0       8.7239   47.619047619       1374.0       3.6072  
     1382.0       8.6668   48.0519480519       1386.0       3.6615  
     1394.0       7.5927   48.4848484848       1397.0       3.7078  
     1405.0       7.3797   48.9177489177       1408.0       3.5335  
     1416.0       7.4896   49.3506493506       1420.0       3.7691  
     1427.0        7.322   49.7835497835       1431.0       3.8193  
     1438.0        7.496   50.2164502165       1442.0        3.759  
     1450.0       7.5609   50.6493506494       1453.0       3.5435  
     1461.0       7.6217   51.0822510823       1464.0       3.5834  
     1472.0       7.7944   51.5151515152       1476.0       3.9627  
     1484.0       7.8965   51.9480519481       1488.0       4.0002  
     1496.0       7.8546   52.380952381       1500.0        3.929  
     1508.0       7.6979   52.8138528139       1512.0       4.0021  
     1519.0       7.5649   53.2467532468       1523.0       4.0214  
     1531.0       7.4206   53.6796536797       1534.0        3.866  
     1542.0       7.5995   54.1125541126       1546.0       3.8292  
     1554.0       7.5706   54.5454545455       1557.0       3.7908  
     1565.0        7.545   54.9783549784       1569.0       3.7299  
     1577.0        8.344   55.4112554113       1581.0        3.988  
     1589.0       7.9353   55.8441558442       1593.0       3.8633  
     1601.0       8.3358   56.2770562771       1605.0       3.9794  
     1613.0       8.2009   56.70995671       1617.0       3.8502  
     1626.0       8.6864   57.1428571429       1630.0       3.9299  
     1638.0        8.317   57.5757575758       1642.0       3.9706  
     1651.0       8.8805   58.0086580087       1655.0       4.1827  
     1664.0       8.4763   58.4415584416       1667.0       3.6633  
     1675.0       7.5076   58.8744588745       1679.0       3.8841  
     1686.0       7.5559   59.3073593074       1690.0       3.8019  
     1698.0       7.5287   59.7402597403       1701.0        3.837  
     1709.0       7.4526   60.1731601732       1713.0       3.7667  
     1721.0       8.2894   60.6060606061       1725.0       3.8058  
     1734.0       9.3151   61.038961039       1739.0       4.4489  
     1751.0      12.3622   61.4718614719       1755.0       4.0992  
     1767.0      11.4617   61.9047619048       1771.0        4.444  
     1780.0       9.2671   62.3376623377       1785.0       4.6397  
     1794.0       9.0458   62.7705627706       1798.0       4.2468  
     1807.0       9.2111   63.2034632035       1812.0       4.3381  
     1821.0       9.7193   63.6363636364       1826.0       4.8261  
     1836.0       9.4219   64.0692640693       1840.0       4.6396  
     1850.0       9.4326   64.5021645022       1854.0       4.6166  
     1864.0       9.4628   64.9350649351       1869.0       4.7472  
     1878.0       9.6769   65.367965368       1883.0       4.7967  
     1893.0       9.6207   65.8008658009       1897.0       4.6143  
     1907.0       9.4569   66.2337662338       1912.0       4.6193  
     1921.0       9.5311   66.6666666667       1926.0       4.6478  
     1936.0       9.7933   67.0995670996       1940.0       4.7778  
     1950.0       9.6324   67.5324675325       1955.0       4.6198  
     1964.0       9.6962   67.9653679654       1969.0       4.5777  
     1979.0       9.8162   68.3982683983       1984.0       4.8335  
     1993.0       9.8697   68.8311688312       1998.0        4.751  
