# Reading header(s) ------->
   13520.0,        0.0,          0
13521.4099,       10.4, 10991.1458609
13521.8203001,       20.4, 74066.2883203
13522.2077,       30.9, 118849.371381
13523.2077999,       40.9, 60936.5485982
13523.5836,       51.3, 203403.472586
13523.9581001,       61.7, 245488.542333
13524.7244,       72.2, 140390.047233
13525.1029,       82.6, 325171.225791
  13525.49,       93.0, 357979.144126
# Writing to output file ------->
   16600.0,        0.0,          0
16763.1329999,        0.6, 5.48033813247
17202.8018999,        2.0, 6.77800954289
 17469.112,        2.5, 13.987828471
17883.6807001,        3.6, 12.9390954962
18227.3708999,        4.4, 19.0758305091
18482.4546001,        5.1, 29.7910215143
18803.9819,        6.2, 28.7323906972
18996.6405001,        6.9, 53.36525852
19364.8773999,        8.2, 33.1806182511
19534.2649,        8.7, 76.5307239103
19903.7846999,        9.8, 39.5172112619
20100.6270001,       10.3, 77.9680586247
 20317.365,       11.1, 76.3107715602
20595.1798,       12.1, 64.8974928565
20904.9428999,       12.8, 61.5712846547
21216.8438001,       14.1, 67.3597414805
21388.0459001,       14.7, 127.939949306
21808.6561,       16.1, 57.0353358147
21961.8959999,       16.5, 160.439024172
22226.5019,       17.6, 99.1085383777
22478.5652001,       18.4, 108.769249572
22669.2716,       19.0, 148.452070891
22886.7739999,       20.0, 137.013660588
 23014.355,       20.6, 240.590871512
23479.8310001,       22.0, 70.4244257384
23622.4072001,       22.4, 234.098650392
24058.7902999,       23.8, 81.2656402521
24245.8505001,       24.3, 193.563205634
24460.8945,       25.2, 174.610814604
24721.8283999,       26.2, 149.612787062
25030.9173,       26.8, 129.196072678
25322.2797,       27.9, 142.681814785
25398.4435999,       28.4, 555.606213132
25761.9342,       29.8, 122.157744895
25792.8541999,       30.2, 1455.34308654
26171.7284999,       31.3, 123.096900475
26317.6506,       32.1, 327.77957539
26491.7941999,       32.9, 281.505125676
26816.8041,       34.1, 156.334819295
26952.6833,       34.7, 380.517312488
27518.5696001,       36.1, 95.0552151408
27617.6145999,       36.5, 549.108587905
27871.5822001,       37.6, 220.600989954
28036.2221,       38.0, 343.911287669
28246.9080999,       38.9, 275.113467604
 28562.431,       40.0, 188.897858064
28864.2642,       40.6, 200.427335377
29209.0534,       42.1, 181.93923704
29479.9316001,       42.4, 233.232855163
29784.5397999,       43.9, 214.74391049
29924.3604,       44.2, 471.030506124
30139.0467,       45.1, 313.018594981
30348.2681999,       45.9, 326.892006922
30548.5601001,       46.6, 346.673349972
30972.2500999,       47.9, 168.455512357
31140.8378,       48.4, 427.776972727
31638.8134999,       49.9, 149.310490481
31822.9837999,       50.2, 406.145876926
32220.6106,       51.5, 192.987645673
32419.4716001,       52.1, 390.378626157
32629.3178,       52.9, 375.623270776
32918.4753001,       54.1, 278.779433326
33059.6754,       54.6, 576.176532677
33421.4554,       55.8, 229.819868447
33525.4226,       56.1, 804.015535353
33921.6677999,       57.7, 216.975014505
34005.2349999,       57.9, 1032.38251439
34248.1628001,       59.0, 361.886782556
34557.1445,       60.0, 289.345291376
34732.4156001,       60.6, 515.181475881
35071.0033,       62.1, 273.28660796
35082.1668,       62.3, 8315.44689507
35349.9338,       63.7, 354.470670449
35357.3118,       63.8, 12884.8674071
35526.7105999,       65.2, 573.502339211
35554.3310001,       65.9, 3555.11271825
35588.0146,       66.6, 2946.14186579
36648.5572,       67.9, 95.3980688828
36666.2916,       68.3, 5738.54947476
36740.2012,       70.0, 1411.22127535
36746.2937,       70.1, 17144.3257268
 37088.454,       71.8, 312.674708302
37100.2353001,       72.1, 9118.84795233
37827.5544,       72.9, 149.348361695
37991.6415,       73.8, 670.162078436
38296.9830999,       74.3, 362.577428104
38582.9691,       75.9, 395.453050065
38590.3341,       76.0, 15375.8370473
38935.5717001,       77.8, 335.783564625
38983.6221001,       79.3, 2459.08820643
39007.1729,       80.0, 5061.53509758
39024.2493,       80.5, 7024.21000374
39059.8924,       81.7, 3415.42312314
39069.5919001,       81.9, 12581.501618
39120.3399,       83.8, 2460.4979946
 39172.724,       85.5, 2432.00551497
39183.9105999,       85.9, 11441.7639269
39211.0906999,       86.7, 4752.97987022
39245.9170001,       87.9, 3760.79329293
39255.4061,       88.2, 13849.7358322
39304.9270999,       90.0, 2708.01478661
39353.4442,       91.6, 2813.18676777
39397.1364,       93.1, 3174.9997522
39416.2788999,       93.8, 7301.33224798
39431.5134001,       94.2, 9213.4147124
39475.5011001,       95.9, 3248.51801861
39553.2219999,       97.9, 1876.90719404
39607.4693,       99.7, 2738.51394622
39619.9131999,      100.0, 11974.0597046
# accumulating binning ------->
   13526.0,        0.0,          0
13581.2302999,        0.4, 10.7914677368
13587.8887999,        0.9, 201.402118921
13635.5667,        1.3, 40.6278799384
13667.7960999,        1.7, 78.5949476666
13683.6414001,        2.2, 206.880775947
13743.2255001,        3.9, 97.5286359821
13776.8178999,        4.3, 190.73278573
13826.5957,        5.2, 155.655894536
13833.2198,        5.7, 1282.17086678
13848.7392001,        6.1, 585.669802302
13886.3345001,        6.5, 257.61890477
13958.6947999,        7.0, 144.143681344
13997.2224,        7.4, 286.192132022
14037.5832,        7.8, 287.960397018
14067.7413001,        8.3, 410.083259471
14072.8397,       13.5, 3945.46141596
14078.0276,       19.6, 5629.40373298
14091.0982001,       20.4, 2325.58688382
14184.7337,       20.9, 332.585782264
14279.5732999,       21.3, 334.647679355
14294.7641001,       21.7, 2128.51644388
14320.1530001,       22.2, 1302.88779529
14389.7734001,       29.1, 622.808315234
14452.2033,       29.6, 706.475327508
14503.9301,       30.0, 864.178724188
