# Reading header(s) ------->
    8263.0,        0.0,          0
8263.96318007,       10.4, 16158.6649922
8264.81089997,       20.8, 36718.9772412
8265.21880007,       31.2, 114467.028995
8265.65829992,       41.6, 141649.229882
8266.25609994,       51.9, 129924.501286
8266.66000009,       62.3, 230830.748173
8267.0638001,       72.7, 269431.089951
8267.46609998,       83.1, 309122.589588
8267.87039995,       93.5, 346088.780226
# Writing to output file ------->
   10385.0,        0.0,          0
10446.3348999,        0.2, 4.87979927377
10541.2895999,        0.5, 7.88012599749
10655.2874999,        0.8, 10.5020180188
10768.7553999,        1.0, 13.1888401874
10792.4147999,        1.3, 82.2279094622
11009.2398,        1.7, 11.7332733746
11191.6475999,        2.0, 16.4083992059
11266.1245999,        2.2, 44.2058890676
11273.1403999,        2.5, 533.264203713
11437.5386,        2.7, 24.5779880749
11481.9988,        2.9, 97.6126736505
11659.9119999,        3.4, 28.5989685016
11724.7126999,        3.5, 80.8291423411
11734.1651001,        3.8, 601.618411742
11892.4963,        4.2, 39.6974317417
11920.8276999,        4.3, 227.132899141
11982.4137001,        4.6, 111.777773799
12056.8945,        5.0, 100.462803953
12120.3088,        5.1, 120.354573089
12144.6347001,        5.3, 326.051779158
12258.0788,        5.8, 76.5113215003
12344.2600999,        6.0, 104.188031601
12402.9872999,        6.2, 157.990879781
12497.7089,        6.7, 105.853543375
12572.1754999,        6.8, 136.655467123
12673.5983,        7.3, 107.712693725
12763.2874999,        7.5, 125.141321468
12849.2107999,        8.0, 139.334499445
12973.4605999,        8.2, 98.7637968293
13036.2119999,        8.6, 205.094802686
13118.9574001,        8.9, 160.962893035
13124.6447001,        9.1, 2394.50021618
13258.4828,        9.3, 103.98790034
13335.8257,        9.6, 185.750676442
 13388.165,        9.9, 283.06547897
13530.2879,       10.1, 106.349863386
13537.4470999,       10.5, 2194.84790242
13623.2801001,       10.7, 186.555951276
13652.6285999,       10.9, 555.802140658
13764.4386001,       11.3, 151.243743606
13886.4231999,       11.5, 141.082276158
13975.7909999,       12.0, 200.946202106
14164.6178999,       12.1, 95.8961408543
14200.5785999,       12.3, 511.866370289
14391.6782,       12.8, 100.237404957
14456.8871,       13.0, 298.343171063
14562.5459001,       13.5, 191.20873014
14635.6777999,       13.7, 280.345335573
14717.5006001,       14.1, 257.884000045
14832.4452,       14.4, 187.479394638
14843.3371,       14.6, 2005.99031156
14923.9268,       14.8, 274.828520326
14959.1570001,       15.1, 641.418469565
15119.4981999,       15.3, 142.799249462
15201.4649999,       15.5, 282.991467365
15284.6252999,       16.0, 287.927773172
15391.8951001,       16.2, 226.004541427
15425.3324001,       16.5, 738.469165408
15507.0041001,       16.7, 306.002164762
15570.1434,       17.2, 407.669582228
15716.6273,       17.4, 177.762020178
15721.7196,       17.6, 5172.23579122
15789.0393,       17.9, 397.915157063
15955.3418,       18.1, 162.876871956
16028.9472001,       18.3, 372.066899551
16034.0055001,       18.5, 5473.2686673
16122.6361001,       18.8, 317.434249658
16187.8434999,       18.9, 433.755050304
16193.3347001,       19.1, 5205.29937242
16264.6925001,       19.4, 406.855228121
16326.2302999,       19.6, 476.643560195
16352.8024001,       20.0, 1126.37690724
16458.1407001,       20.2, 286.97541163
16463.7512,       20.5, 5468.04309273
16545.5636001,       20.7, 378.643787019
16635.3122001,       21.0, 350.163790832
16731.8951001,       21.4, 331.583685977
16789.3406999,       21.7, 565.304690285
 16795.266,       21.9, 5531.12388048
16913.6682,       22.2, 280.590411366
16982.8445001,       22.4, 484.585385115
17052.6609001,       22.8, 488.71651897
17088.8024001,       23.1, 956.501003103
17094.4698,       23.3, 6152.50092074
17195.3580999,       23.4, 347.100050453
17368.7532001,       23.7, 204.546074117
17374.1461,       23.9, 6632.16248508
17484.2558999,       24.1, 327.544787523
17511.8385999,       24.2, 1312.98030945
17636.7802999,       24.7, 295.848359718
17739.7881999,       24.9, 361.749914328
17825.5924001,       25.2, 439.512890094
17894.7042999,       25.5, 552.162580993
17974.1891,       25.9, 487.635484408
18051.0276,       26.2, 510.272350297
18057.7728,       26.4, 5857.18206664
18150.0510001,       26.7, 433.003861532
18233.0792999,       26.9, 484.848167346
18360.0116999,       27.4, 323.041036046
18414.2572,       27.6, 761.421241083
18436.0755999,       27.9, 1913.6430343
18584.7405,       28.1, 282.863883686
18624.4679,       28.3, 1066.04592627
18834.5996001,       28.7, 204.394848526
18902.7520001,       29.0, 636.790340315
19003.0177,       29.4, 438.80802767
19053.4858999,       29.6, 877.714997321
19184.6377001,       30.1, 343.456597214
19223.1954999,       30.1, 1168.24484838
19270.8429,       30.3, 951.662690221
19370.0323999,       30.8, 464.691404507
19410.9897001,       31.0, 1132.68720812
19554.3673999,       31.4, 327.738651467
19632.0495,       31.7, 610.685949077
19709.8197,       32.1, 617.691236377
19835.6513,       32.3, 384.142560525
19924.5682001,       32.7, 550.355184595
19984.7170999,       32.9, 818.554938975
20031.7026,       33.4, 1063.80551226
20108.7999001,       33.6, 652.19840339
20114.8592999,       33.8, 8347.69767779
20199.5692999,       34.1, 602.419914733
20251.0638001,       34.1, 990.998860873
20286.4978001,       34.3, 1448.6169492
20410.5490999,       34.8, 419.814609598
20451.6619,       35.0, 1274.00346961
20552.1347001,       35.5, 528.761067586
20615.2569001,       35.7, 846.380623452
20658.1261001,       36.0, 1256.71484448
20818.2714,       36.2, 338.278188807
20837.8225,       36.3, 2778.52974802
20844.5472,       36.6, 8144.93824428
20985.1919,       36.8, 391.565185039
21042.4203,       37.0, 967.541815039
21120.7077,       37.4, 714.9231421
21191.7753,       37.6, 791.764123041
